feature,importance
cat__test_results_Abnormal,0.14440914920009776
cat__admission_type_Emergency,0.14168489194367004
num__billing_amount,0.10543980806596955
num__age,0.10181613636285496
num__senior_patient,0.0968764489567243
num__high_bill,0.09537244127206639
num__length_of_stay,0.09152757538052399
num__long_stay,0.08483858066694586
cat__test_results_Normal,0.033061277612123824
cat__admission_type_Urgent,0.032974201298971446
cat__admission_type_Elective,0.03224702558847805
cat__test_results_Inconclusive,0.031269446554816914
num__admission_month,0.0017456808677672405
cat__medical_condition_Asthma,0.00037407393478875437
cat__gender_Male,0.0003473909103082558
cat__gender_Female,0.0003449851689562926
cat__medical_condition_Hypertension,0.000338310365837785
cat__blood_type_A-,0.00031758284025095894
cat__admission_weekday_Thursday,0.00030483411816848815
cat__blood_type_AB-,0.0003025750735489417
cat__medical_condition_Obesity,0.00030119619676066326
cat__blood_type_AB+,0.00029929495414972236
cat__admission_weekday_Sunday,0.00029844331674619195
cat__medical_condition_Cancer,0.0002952741263714865
cat__admission_weekday_Monday,0.0002906741045876497
cat__blood_type_O-,0.0002856692774415337
cat__admission_weekday_Saturday,0.0002852228845777933
cat__admission_weekday_Tuesday,0.00028198889556313255
cat__admission_weekday_Wednesday,0.00027916342630243565
cat__medical_condition_Arthritis,0.00027295537583634964
cat__admission_weekday_Friday,0.0002646359663508838
cat__blood_type_B-,0.0002617536640897453
cat__medical_condition_Diabetes,0.00026144304453678966
cat__blood_type_O+,0.0002520779327634277
cat__blood_type_A+,0.0002407755317545233
cat__blood_type_B+,0.00023701511929786903
